question,answer,category,difficulty,part_of_speech
favoloso!,fabulous!,Italian,Medium,Interjection
splendido!,splendid!,Italian,Medium,Interjection
bellissimo!,very beautiful!,Italian,Medium,Interjection
benissimo!,very well!,Italian,Medium,Interjection
malissimo!,very badly!,Italian,Medium,Interjection
peccato!,what a pity!,Italian,Medium,Interjection
evviva!,hooray!,Italian,Medium,Interjection
urrà!,hurray!,Italian,Medium,Interjection
accidenti!,darn!,Italian,Medium,Interjection
caspita!,wow!,Italian,Medium,Interjection
oddio!,oh god!,Italian,Medium,Interjection
madonna!,Madonna!,Italian,Medium,Interjection
gesù!,Jesus!,Italian,Medium,Interjection
santo cielo!,good heavens!,Italian,Medium,Interjection
per carità!,for goodness sake!,Italian,Medium,Interjection
figurati!,imagine that!,Italian,Medium,Interjection
occasione,opportunity/chance,Italian,Medium,Noun
possibilità,possibility/chance,Italian,Medium,Noun
valigetta,briefcase,Italian,Medium,Noun
valigia,suitcase,Italian,Easy,Noun
opportunità,opportunity,Italian,Medium,Noun 
